,name,price,origin,year,date,mileage,energy,gearbox,color,ratedHorsePower,powerDIN,consumption,brand,model
719,323,71260.0,0,2006.0,55,107569,4,1,102,26,355,8.4,29,52
721,330,69480.0,1,2017.0,387,84912,4,0,102,23,340,8.7,29,250
722,378,16230.0,0,2020.0,476,45291,4,1,102,4,75,4.9,32,178
724,142,30460.0,0,2019.0,519,81995,3,1,102,8,177,5.8,11,164
726,396,82680.0,0,2023.0,372,25,3,0,102,7,150,7.8,36,111
727,309,109780.0,1,2013.0,255,99757,4,1,72,29,400,9.7,29,38
729,282,34320.0,0,2023.0,321,31295,3,0,102,7,130,5.1,28,14
731,114,11200.0,0,2014.0,652,95984,4,1,102,7,120,4.8,6,162
733,340,13790.0,0,2018.0,855,71077,3,1,102,4,75,3.1,30,144
734,278,28780.0,0,2023.0,545,16158,4,0,86,5,101,5.4,28,8
736,30,48770.0,0,2021.0,348,56546,3,0,29,8,150,5.9,2,296
738,95,20230.0,0,2020.0,84,80813,3,1,49,5,99,4.0,6,85
740,338,12810.0,0,2020.0,928,61206,3,1,102,5,90,4.2,30,117
748,320,349160.0,0,2022.0,294,9676,4,0,102,61,650,12.0,29,49
749,431,40100.0,0,2020.0,296,115260,3,0,102,10,190,4.9,37,425
751,112,33530.0,0,2020.0,460,54085,3,0,24,6,131,4.1,6,108
754,287,20400.0,0,2019.0,785,114267,3,1,102,6,131,3.7,28,19
757,18,16690.0,0,2013.0,429,181283,4,0,52,9,170,5.1,2,67
760,281,23360.0,0,2019.0,92,114529,4,1,102,7,131,4.5,28,13
761,278,25610.0,0,2021.0,247,59100,3,1,79,5,102,4.2,28,8
763,287,14680.0,0,2019.0,405,133323,4,1,102,7,131,5.1,28,19
767,345,22990.0,0,2022.0,477,65753,4,0,102,7,140,6.9,30,215
768,9,24180.0,0,2017.0,678,84590,3,0,64,8,150,4.6,2,58
769,356,42680.0,0,2020.0,860,95038,4,0,102,17,279,6.9,30,260
775,275,16480.0,0,2018.0,531,98887,4,0,102,6,110,4.1,28,5
777,239,27010.0,1,2019.0,467,90827,4,1,102,7,136,6.2,24,152
778,24,36460.0,0,2016.0,949,146202,3,0,102,20,313,5.5,2,73
780,309,96280.0,1,2013.0,395,87492,4,1,72,29,400,9.7,29,38
781,182,27710.0,0,2023.0,701,25016,3,1,102,7,131,5.1,15,309
783,205,29280.0,0,2020.0,144,34461,4,1,102,7,132,6.3,21,274
784,298,39760.0,0,2023.0,636,12,3,0,86,7,130,4.6,28,34
785,423,22990.0,0,2017.0,534,111205,3,0,102,8,150,5.1,36,390
786,32,34130.0,0,2017.0,558,128079,3,0,49,18,286,5.7,2,298
787,31,19230.0,0,2016.0,495,161156,3,1,102,8,150,3.9,2,297
789,422,39880.0,0,2023.0,141,28090,3,0,64,8,150,5.5,36,389
790,23,50160.0,0,2020.0,584,71057,3,0,102,17,286,5.8,2,72
792,224,114930.0,0,2021.0,733,19097,3,0,86,22,340,7.1,22,141
793,410,20310.0,0,2020.0,508,54962,4,0,102,5,95,4.6,36,288
795,403,31480.0,0,2020.0,664,29400,4,0,49,14,245,6.2,36,205
796,278,25610.0,0,2021.0,247,59100,3,1,79,5,102,4.2,28,8
798,239,36290.0,0,2018.0,458,28560,4,0,72,11,192,6.0,24,152
800,287,17910.0,0,2021.0,62,33814,4,1,102,5,110,5.5,28,19
801,10,28980.0,0,2020.0,564,11461,3,1,102,6,116,4.1,2,59
805,32,62980.0,1,2022.0,185,26250,4,0,102,16,265,8.5,2,298
808,175,67080.0,1,2015.0,416,23180,4,0,96,23,340,8.4,14,175
811,103,15690.0,0,2022.0,681,57065,4,1,93,4,83,5.8,6,99
812,30,68180.0,1,2023.0,727,62,3,0,90,8,150,5.4,2,296
817,427,37780.0,0,2019.0,981,78472,3,0,102,10,190,4.5,37,405
819,148,7930.0,0,2014.0,46,114747,4,1,64,5,90,6.0,12,84
820,123,15340.0,0,2019.0,632,138840,3,1,86,6,116,4.4,8,166
822,113,35280.0,0,2023.0,666,12,3,1,102,7,131,4.9,6,109
825,347,11660.0,0,2019.0,694,114229,3,1,102,5,90,4.5,30,239
826,93,9590.0,0,2010.0,980,140400,4,1,102,9,136,7.1,5,113
